sensor1,sensor2,time_x,speedSet,load_value,gear_fault_desc
2.5203440315711623,2.432302863753427,2023-05-03 13:06:37.738800,8.33203125,0,missing tooth
2.5196870069657136,2.432795630764913,2023-05-03 13:06:37.739000,8.33203125,0,missing tooth
2.5211653123485616,2.4311530740911462,2023-05-03 13:06:37.739200,8.33203125,0,missing tooth
2.518865726229485,2.4324671194230314,2023-05-03 13:06:37.739400,8.33203125,0,missing tooth
2.5190299823749016,2.430988818428669,2023-05-03 13:06:37.739600,8.33203125,0,missing tooth
2.518865726229485,2.428689239247504,2023-05-03 13:06:37.739800,8.33203125,0,missing tooth
2.5211653123485616,2.4311530740911462,2023-05-03 13:06:37.740000,8.33203125,0,missing tooth
2.520672543879377,2.431810096749961,2023-05-03 13:06:37.740200,8.33203125,0,missing tooth
2.518865726229485,2.4311530740911462,2023-05-03 13:06:37.740400,8.33203125,0,missing tooth
2.516894652555816,2.4272109384374603,2023-05-03 13:06:37.740600,8.33203125,0,missing tooth
2.5196870069657136,2.428689239247504,2023-05-03 13:06:37.740800,8.33203125,0,missing tooth
2.519851263115703,2.432302863753427,2023-05-03 13:06:37.741000,8.33203125,0,missing tooth
2.5191942385212323,2.4290177505484145,2023-05-03 13:06:37.741200,8.33203125,0,missing tooth
2.520179775418428,2.428689239247504,2023-05-03 13:06:37.741400,8.33203125,0,missing tooth
2.519522750816638,2.428196472302813,2023-05-03 13:06:37.741600,8.33203125,0,missing tooth
2.5196870069657136,2.431317329754514,2023-05-03 13:06:37.741800,8.33203125,0,missing tooth
2.5182087016569654,2.4295105175064573,2023-05-03 13:06:37.742000,8.33203125,0,missing tooth
2.5208368000348567,2.428032216656363,2023-05-03 13:06:37.742200,8.33203125,0,missing tooth
2.518865726229485,2.4293462618528863,2023-05-03 13:06:37.742400,8.33203125,0,missing tooth
2.5172231648256176,2.432795630764913,2023-05-03 13:06:37.742600,8.33203125,0,missing tooth
2.521001056191252,2.432302863753427,2023-05-03 13:06:37.742800,8.33203125,0,missing tooth
2.5190299823749016,2.4300032844725137,2023-05-03 13:06:37.743000,8.33203125,0,missing tooth
2.519522750816638,2.432302863753427,2023-05-03 13:06:37.743200,8.33203125,0,missing tooth
2.518044445516121,2.431645841083921,2023-05-03 13:06:37.743400,8.33203125,0,missing tooth
2.520672543879377,2.43033179578767,2023-05-03 13:06:37.743600,8.33203125,0,missing tooth
2.5187014700849835,2.4311530740911462,2023-05-03 13:06:37.743800,8.33203125,0,missing tooth
2.5190299823749016,2.4314815854187715,2023-05-03 13:06:37.744000,8.33203125,0,missing tooth
2.518865726229485,2.429839028816271,2023-05-03 13:06:37.744200,8.33203125,0,missing tooth
2.5177159332371777,2.43033179578767,2023-05-03 13:06:37.744400,8.33203125,0,missing tooth
2.5203440315711623,2.4308245627670835,2023-05-03 13:06:37.744600,8.33203125,0,missing tooth
2.5208368000348567,2.428524983598383,2023-05-03 13:06:37.744800,8.33203125,0,missing tooth
2.519851263115703,2.429839028816271,2023-05-03 13:06:37.745000,8.33203125,0,missing tooth
2.5200155192666083,2.4300032844725137,2023-05-03 13:06:37.745200,8.33203125,0,missing tooth
2.519851263115703,2.431317329754514,2023-05-03 13:06:37.745400,8.33203125,0,missing tooth
2.5211653123485616,2.4295105175064573,2023-05-03 13:06:37.745600,8.33203125,0,missing tooth
2.5208368000348567,2.428524983598383,2023-05-03 13:06:37.745800,8.33203125,0,missing tooth
2.519851263115703,2.428360727950153,2023-05-03 13:06:37.746000,8.33203125,0,missing tooth
2.5211653123485616,2.4290177505484145,2023-05-03 13:06:37.746200,8.33203125,0,missing tooth
2.5191942385212323,2.429674773160919,2023-05-03 13:06:37.746400,8.33203125,0,missing tooth
2.5214938246659275,2.427375194079461,2023-05-03 13:06:37.746600,8.33203125,0,missing tooth
2.5196870069657136,2.428524983598383,2023-05-03 13:06:37.746800,8.33203125,0,missing tooth
2.5182087016569654,2.4300032844725137,2023-05-03 13:06:37.747000,8.33203125,0,missing tooth
2.5200155192666083,2.429839028816271,2023-05-03 13:06:37.747200,8.33203125,0,missing tooth
2.519851263115703,2.428524983598383,2023-05-03 13:06:37.747400,8.33203125,0,missing tooth
2.5190299823749016,2.429839028816271,2023-05-03 13:06:37.747600,8.33203125,0,missing tooth
2.51738742096189,2.429839028816271,2023-05-03 13:06:37.747800,8.33203125,0,missing tooth
2.5193584946684777,2.4314815854187715,2023-05-03 13:06:37.748000,8.33203125,0,missing tooth
2.5190299823749016,2.431810096749961,2023-05-03 13:06:37.748200,8.33203125,0,missing tooth
2.5190299823749016,2.4311530740911462,2023-05-03 13:06:37.748400,8.33203125,0,missing tooth
2.519851263115703,2.428689239247504,2023-05-03 13:06:37.748600,8.33203125,0,missing tooth
2.518865726229485,2.4300032844725137,2023-05-03 13:06:37.748800,8.33203125,0,missing tooth
2.519522750816638,2.4324671194230314,2023-05-03 13:06:37.749000,8.33203125,0,missing tooth
2.521001056191252,2.429674773160919,2023-05-03 13:06:37.749200,8.33203125,0,missing tooth
